Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
281;Tiel;42161;10-06-2020;23-06-2020;3;7,1;0;0;0;0
855;Tilburg;219800;10-06-2020;23-06-2020;27;12,3;0;0;0;0
183;Tubbergen;21279;10-06-2020;23-06-2020;1;4,7;0;0;0;0
1700;Twenterand;33743;10-06-2020;23-06-2020;0;0;0;0;0;0
1730;Tynaarlo;33879;10-06-2020;23-06-2020;2;5,9;0;0;0;0
737;Tytsjerksteradiel;32046;10-06-2020;23-06-2020;1;3,1;0;0;0;0
856;Uden;42122;10-06-2020;23-06-2020;5;11,9;0;0;0;0
450;Uitgeest;13649;10-06-2020;23-06-2020;0;0;0;0;0;0
451;Uithoorn;29466;10-06-2020;23-06-2020;2;6,8;0;0;0;0
184;Urk;21033;10-06-2020;23-06-2020;2;9,5;0;0;0;0
344;Utrecht;357694;10-06-2020;23-06-2020;82;22,9;1;0,3;2;0,6
1581;Utrechtse Heuvelrug;49601;10-06-2020;23-06-2020;5;10,1;0;0;0;0
981;Vaals;10099;10-06-2020;23-06-2020;0;0;0;0;0;0
994;Valkenburg aan de Geul;16360;10-06-2020;23-06-2020;0;0;0;0;0;0
858;Valkenswaard;31200;10-06-2020;23-06-2020;2;6,4;0;0;0;0
47;Veendam;27387;10-06-2020;23-06-2020;0;0;0;0;0;0
345;Veenendaal;66491;10-06-2020;23-06-2020;13;19,6;0;0;0;0
717;Veere;21885;10-06-2020;23-06-2020;0;0;0;0;0;0
861;Veldhoven;45458;10-06-2020;23-06-2020;1;2,2;0;0;0;0
453;Velsen;68660;10-06-2020;23-06-2020;1;1,5;0;0;0;0
983;Venlo;101797;10-06-2020;23-06-2020;2;2;0;0;0;0
984;Venray;43604;10-06-2020;23-06-2020;10;22,9;0;0;0;0
1961;Vijfheerenlanden;56816;10-06-2020;23-06-2020;1;1,8;0;0;0;0
622;Vlaardingen;73445;10-06-2020;23-06-2020;13;17,7;0;0;0;0
96;Vlieland;1152;10-06-2020;23-06-2020;0;0;0;0;0;0
718;Vlissingen;44365;10-06-2020;23-06-2020;1;2,3;0;0;0;0
986;Voerendaal;12471;10-06-2020;23-06-2020;0;0;0;0;1;8
626;Voorschoten;25603;10-06-2020;23-06-2020;4;15,6;0;0;0;0
