Datum,Gemeentenaam,Gemeentecode,Provincienaam,Aantal
2020-03-10,Albrandswaard,613,Zuid-Holland,1
2020-03-10,Westvoorne,614,Zuid-Holland,1
2020-03-10,Waddinxveen,627,Zuid-Holland,1
2020-03-10,Woerden,632,Utrecht,2
2020-03-10,Goes,664,Zeeland,1
2020-03-10,West Maas en Waal,668,Gelderland,1
2020-03-10,Bergen op Zoom,748,Noord-Brabant,1
2020-03-10,Best,753,Noord-Brabant,2
2020-03-10,Boekel,755,Noord-Brabant,2
2020-03-10,Breda,758,Noord-Brabant,27
2020-03-10,Deurne,762,Noord-Brabant,1
2020-03-10,Dongen,766,Noord-Brabant,3
2020-03-10,Eindhoven,772,Noord-Brabant,8
2020-03-10,Etten-Leur,777,Noord-Brabant,3
2020-03-10,Goirle,785,Noord-Brabant,4
2020-03-10,Haaren,788,Noord-Brabant,2
2020-03-10,Helmond,794,Noord-Brabant,11
2020-03-10,'s-Hertogenbosch,796,Noord-Brabant,4
2020-03-10,Heusden,797,Noord-Brabant,1
2020-03-10,Loon op Zand,809,Noord-Brabant,7
2020-03-10,"Nuenen, Gerwen en Nederwetten",820,Noord-Brabant,1
2020-03-10,Oisterwijk,824,Noord-Brabant,3
2020-03-10,Oss,828,Noord-Brabant,1
2020-03-10,Sint-Michielsgestel,845,Noord-Brabant,5
2020-03-10,Waterland,852,Noord-Holland,1
2020-03-10,Tilburg,855,Noord-Brabant,29
2020-03-10,Uden,856,Noord-Brabant,13
2020-03-10,Veldhoven,861,Noord-Brabant,1
2020-03-10,Vught,865,Noord-Brabant,1
2020-03-10,Waalre,866,Noord-Brabant,1
2020-03-10,Waalwijk,867,Noord-Brabant,5
2020-03-10,Zundert,879,Noord-Brabant,1
2020-03-10,Maastricht,935,Limburg,7
2020-03-10,Roermond,957,Limburg,1
2020-03-10,Simpelveld,965,Limburg,2
2020-03-10,Venlo,983,Limburg,1
2020-03-10,Utrechtse Heuvelrug,1581,Utrecht,2
2020-03-10,Lansingerland,1621,Zuid-Holland,4
2020-03-10,Leudal,1640,Limburg,2
2020-03-10,Gemert-Bakel,1652,Noord-Brabant,2
2020-03-10,Schouwen-Duiveland,1676,Zeeland,2
2020-03-10,Landerd,1685,Noord-Brabant,1
2020-03-10,Lingewaard,1705,Gelderland,2
2020-03-10,Bernheze,1721,Noord-Brabant,2
2020-03-10,Neder-Betuwe,1740,Gelderland,1
2020-03-10,Dinkelland,1774,Overijssel,2
2020-03-10,Bronckhorst,1876,Gelderland,2
2020-03-10,Sittard-Geleen,1883,Limburg,13
2020-03-10,Peel en Maas,1894,Limburg,1
2020-03-10,Stichtse Vecht,1904,Utrecht,5
2020-03-10,Leidschendam-Voorburg,1916,Zuid-Holland,2
2020-03-10,Pijnacker-Nootdorp,1926,Zuid-Holland,4
2020-03-10,Krimpenerwaard,1931,Zuid-Holland,1
2020-03-10,Gooise Meren,1942,Noord-Holland,2
2020-03-10,Berg en Dal,1945,Gelderland,1
2020-03-10,Meierijstad,1948,Noord-Brabant,11
2020-03-10,Beekdaelen,1954,Limburg,5
2020-03-10,Altena,1959,Noord-Brabant,4
2020-03-10,West Betuwe,1960,Gelderland,2
2020-03-10,Vijfheerenlanden,1961,Utrecht,1
2020-03-10,Hoeksche Waard,1963,Zuid-Holland,2
2020-03-11,,-1,,6
2020-03-11,Almere,34,Flevoland,1
2020-03-11,Zeewolde,50,Flevoland,1
2020-03-11,Opsterland,86,Friesland,2
2020-03-11,Smallingerland,90,Friesland,1
2020-03-11,Coevorden,109,Drenthe,11
2020-03-11,Emmen,114,Drenthe,1
2020-03-11,Almelo,141,Overijssel,1
2020-03-11,Borne,147,Overijssel,3
2020-03-11,Enschede,153,Overijssel,1
2020-03-11,Hellendoorn,163,Overijssel,2
2020-03-11,Tubbergen,183,Overijssel,1
2020-03-11,Zwolle,193,Overijssel,2
2020-03-11,Apeldoorn,200,Gelderland,1
2020-03-11,Arnhem,202,Gelderland,3
2020-03-11,Beuningen,209,Gelderland,3
2020-03-11,Culemborg,216,Gelderland,1
